Network,IP,Compliance ,fShared,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,IShared90,NShared90,IShared180,NShared180,pIr90,pIr180,pIs90,pIs180,pIShared90,pIShared180,ORs90,RRs90
A,Const,0.8,0%,27.1707946,789.845526,56.7997781,808.562647,8.19104769,19.4738472,58.7855467,1081.15783,112.283952,1085.99616,0,0,0,0,34.4,70.2,54.4,103.4,0,0,1.74,1.67
A,Const,0.8,0%,27.1764497,789.140677,57.1842251,809.078174,7.61109126,20.0985391,55.7903272,1081.08298,105.478013,1085.39817,0,0,0,0,34.4,70.7,51.6,97.2,0,0,0.88,0.88
A,Const,0.8,0%,32.0280495,792.215261,52.2446358,808.483352,10.294696,18.9939505,61.2932308,1081.15952,109.55113,1085.8975,0,0,0,0,40.4,64.6,56.7,100.9,0,0,0.79,0.8
A,Const,0.8,0%,19.779945,786.907078,56.5862884,808.351591,5.66410344,20.2074758,52.898884,1081.01331,109.306137,1085.54931,0,0,0,0,25.1,70,48.9,100.7,0,0,0.93,0.93
A,Const,0.8,0%,24.4206264,788.463325,55.8248249,807.465629,6.79814113,18.9502093,52.7340778,1081.04452,105.319202,1085.34826,0,0,0,0,31,69.1,48.8,97,0,0,0.3,0.31
A,Const,0.8,0%,23.7093645,788.477234,55.0211409,807.366926,6.89598251,19.1752478,57.00378,1081.13323,108.763576,1085.67058,0,0,0,0,30.1,68.1,52.7,100.2,0,0,0.86,0.86
A,Const,0.8,0%,32.7060382,790.641234,60.7096944,810.848578,8.82508149,20.6616513,56.6960309,1081.12833,105.805853,1085.67967,0,0,0,0,41.4,74.9,52.4,97.5,0,0,0.56,0.58
A,Const,0.8,0%,25.4376401,789.323748,49.9983826,805.402851,7.67023151,17.2859389,56.9385106,1081.11839,105.966661,1085.66602,0,0,0,0,32.2,62.1,52.7,97.6,0,0,1.47,1.44
A,Const,0.8,0%,21.1033031,787.742288,55.8484298,807.385815,6.24707434,19.2658354,54.2696428,1081.07412,107.996321,1085.55569,0,0,0,0,26.8,69.2,50.2,99.5,0,0,1.22,1.21
A,Const,0.8,0%,27.8848421,790.035378,55.2995929,807.121794,8.23591194,18.0509129,56.7469758,1081.12624,106.232377,1085.64368,0,0,0,0,35.3,68.5,52.5,97.9,0,0,0.28,0.29
A,Const,0.8,0%,30.0997225,789.850757,62.7637808,810.827665,8.18416248,21.0666235,55.3002596,1081.07682,113.482055,1085.67947,0,0,0,0,38.1,77.4,51.2,104.5,0,0,0.88,0.89
A,Const,0.8,0%,24.8375199,788.85379,54.5615996,807.795416,7.31970658,18.9047794,56.043706,1081.08373,107.995809,1085.68248,0,0,0,0,31.5,67.5,51.8,99.5,0,0,0.28,0.29
A,Const,0.8,0%,18.9938299,787.567288,46.8879233,802.798264,6.09781687,16.1727614,54.9025887,1081.11973,106.677145,1085.5439,0,0,0,0,24.1,58.4,50.8,98.3,0,0,1.21,1.19
A,Const,0.8,0%,36.578531,793.399891,63.7352463,813.958765,11.2747731,23.0544621,59.5719744,1081.15368,108.957538,1085.88695,0,0,0,0,46.1,78.3,55.1,100.3,0,0,0.82,0.82
A,Const,0.8,0%,21.461161,786.786804,49.938626,803.319384,5.66815609,16.2536491,53.2918444,1081.03282,104.345035,1085.29368,0,0,0,0,27.3,62.2,49.3,96.1,0,0,0.6,0.61
A,Const,0.8,0%,25.210186,789.878815,51.8168746,806.459366,8.08947056,17.974729,56.9735091,1081.05683,107.501689,1085.56481,0,0,0,0,31.9,64.3,52.7,99,0,0,1.14,1.13
A,Const,0.8,0%,36.1735152,791.036012,65.8690822,813.092366,9.22776224,22.2484304,60.8185473,1081.09386,113.542509,1086.04747,0,0,0,0,45.7,81,56.3,104.5,0,0,1.38,1.35
A,Const,0.8,0%,23.0094744,787.543836,50.3932754,805.279501,6.20631973,17.6323944,54.2453826,1081.02954,104.937307,1085.42462,0,0,0,0,29.2,62.6,50.2,96.7,0,0,0.9,0.91
A,Const,0.8,0%,29.1725681,789.945508,57.7948721,809.166757,8.42731917,19.8542712,57.66753,1081.1391,108.133662,1085.75481,0,0,0,0,36.9,71.4,53.3,99.6,0,0,1.15,1.14
A,Const,0.8,0%,21.5384801,788.152483,52.1436739,804.698036,6.62435357,17.289243,53.3853046,1081.07102,104.133275,1085.399,0,0,0,0,27.3,64.8,49.4,95.9,0,0,1.24,1.23
A,Const,0.8,0%,21.494326,787.781524,47.9030666,805.293225,6.44592085,17.6055675,53.129375,1080.96946,105.070791,1085.31843,0,0,0,0,27.3,59.5,49.1,96.8,0,0,0,0
A,Const,0.8,0%,26.7150192,789.697594,54.0167106,808.247531,8.01065448,19.182051,53.7778909,1081.02928,103.738038,1085.40972,0,0,0,0,33.8,66.8,49.7,95.6,0,0,0.29,0.3
A,Const,0.8,0%,27.684154,789.315374,57.3143483,808.357982,7.71097873,19.4368289,54.5211762,1081.09847,106.500991,1085.61877,0,0,0,0,35.1,70.9,50.4,98.1,0,0,0.88,0.89
A,Const,0.8,0%,25.4749497,788.97748,56.5383086,808.533962,7.2934667,19.4597083,55.4542071,1081.04455,107.068236,1085.61195,0,0,0,0,32.3,69.9,51.3,98.6,0,0,0.87,0.87
A,Const,0.8,0%,35.6695401,792.841644,66.1247464,814.460919,10.7082628,23.1215507,64.1364559,1081.26886,115.725659,1086.34461,0,0,0,0,45,81.2,59.3,106.5,0,0,0.24,0.26
A,Const,0.8,0%,18.7233234,786.754066,44.9727648,802.547809,5.59874039,15.8289361,53.74725,1081.03797,103.268711,1085.42485,0,0,0,0,23.8,56,49.7,95.1,0,0,1.23,1.22
A,Const,0.8,0%,19.2670996,786.823395,49.9683045,804.580519,5.52483435,17.0459626,53.0137683,1081.09733,105.488641,1085.51503,0,0,0,0,24.5,62.1,49,97.2,0,0,0.92,0.93
A,Const,0.8,0%,28.748217,790.57687,43.4157197,804.047547,8.69030482,15.823819,59.5326152,1081.14239,105.068132,1085.80163,0,0,0,0,36.4,54,55.1,96.8,0,0,1.11,1.1
A,Const,0.8,0%,30.3043072,791.088882,60.6632742,810.645408,9.03321228,20.9660259,56.0782415,1081.12334,107.481552,1085.64577,0,0,0,0,38.3,74.8,51.9,99,0,0,0.87,0.88
A,Const,0.8,0%,19.6179679,787.503711,43.2897933,802.470454,6.21123983,15.5403894,50.9774525,1081.0035,99.6136849,1085.25193,0,0,0,0,24.9,53.9,47.2,91.8,0,0,0.31,0.32
A,Const,0.8,0%,17.1825105,785.645225,45.8784887,801.945168,4.43948446,15.2702388,52.0285643,1081.05201,101.671318,1085.35656,0,0,0,0,21.9,57.2,48.1,93.7,0,0,0,0
A,Const,0.8,0%,19.9362167,788.232344,43.1375326,801.410338,6.49208491,14.3397233,54.865666,1081.07213,101.289792,1085.29482,0,0,0,0,25.3,53.8,50.8,93.3,0,0,0.58,0.6
A,Const,0.8,0%,23.7838647,788.520237,49.5005084,804.550384,7.10530633,16.7856753,55.6257879,1081.11376,105.686532,1085.53227,0,0,0,0,30.2,61.5,51.5,97.4,0,0,0.58,0.59
A,Const,0.8,0%,25.1344294,789.895878,46.2602152,804.753285,8.01928362,16.2881552,57.1446477,1081.10672,103.474359,1085.51394,0,0,0,0,31.8,57.5,52.9,95.3,0,0,0.56,0.57
A,Const,0.8,0%,29.3629473,790.270121,55.8179912,809.527734,8.25245122,19.8549957,55.7802222,1081.10812,106.955533,1085.68864,0,0,0,0,37.2,69,51.6,98.5,0,0,0.28,0.29
A,Const,0.8,0%,25.5430855,789.771144,52.9883156,807.139479,7.88616581,18.3069068,56.8714097,1081.12342,107.732198,1085.72075,0,0,0,0,32.3,65.6,52.6,99.2,0,0,0.86,0.86
A,Const,0.8,0%,19.0176188,785.946257,48.2152928,803.987203,4.8477621,16.7844455,52.1390736,1081.09698,103.745089,1085.43794,0,0,0,0,24.2,60,48.2,95.6,0,0,0.94,0.94
A,Const,0.8,0%,23.9182594,788.200057,45.5776752,803.535136,6.78764334,16.0482952,56.9000241,1081.10302,103.541473,1085.51947,0,0,0,0,30.3,56.7,52.6,95.4,0,0,0.56,0.58
A,Const,0.8,0%,26.1640932,788.301132,49.7358061,805.910784,6.87103688,17.4746025,56.4960177,1081.09156,104.984986,1085.73951,0,0,0,0,33.2,61.7,52.3,96.7,0,0,0.57,0.58
A,Const,0.8,0%,24.5788931,788.624189,46.4415157,804.055708,7.12927152,16.3163474,53.9645771,1081.04905,104.490106,1085.41513,0,0,0,0,31.2,57.8,49.9,96.3,0,0,0.29,0.3
A,Const,0.8,0%,27.4012748,788.884744,61.0744168,811.229343,7.50370716,22.3345192,59.5665197,1081.07229,114.597004,1085.88706,0,0,0,0,34.7,75.3,55.1,105.5,0,0,0,0
A,Const,0.8,0%,24.2855917,788.890593,47.7779447,804.736085,7.29309189,16.4630448,55.2561351,1081.06589,104.344985,1085.63684,0,0,0,0,30.8,59.4,51.1,96.1,0,0,0.87,0.88
A,Const,0.8,0%,19.1998827,786.93564,43.8981943,800.621008,5.72469698,14.0841063,53.3864888,1081.12011,100.351156,1085.40584,0,0,0,0,24.4,54.8,49.4,92.5,0,0,0.3,0.31
A,Const,0.8,0%,20.445845,787.156307,41.1322432,802.144909,6.00326633,14.9825904,52.4476458,1081.01191,98.6055547,1085.16561,0,0,0,0,26,51.3,48.5,90.9,0,0,0.61,0.62
A,Const,0.8,0%,23.9100194,787.95725,50.3516827,805.959544,6.55572773,17.6918444,54.5932946,1081.02961,103.456795,1085.47991,0,0,0,0,30.3,62.5,50.5,95.3,0,0,0.9,0.9
A,Const,0.8,0%,28.8798447,790.423311,62.3885056,811.514469,8.50442017,21.5528211,52.7747485,1081.03876,104.95396,1085.44371,0,0,0,0,36.5,76.9,48.8,96.7,0,0,0.61,0.62
