Network,IP,pShortage,Ir90,Nr90,Ir180,Nr180,d90,d180,Is90,Ns90,Is180,Ns180,pIr90,pIr180,pIs90,pIs180
A,Const,5%,30.94604504,791.5972877,62.76714642,812.2128546,9.589725362,21.809606,53.38127567,1021.998827,101.1273266,1026.304906,39.1,77.3,52.2,98.5
A,Const,5%,28.43054745,789.3907091,53.3182044,808.2751122,7.637778051,19.08826187,54.08133929,1022.028961,104.0595114,1026.537699,36,66,52.9,101.4
A,Const,5%,28.87710113,790.6725771,52.23626907,805.9746587,8.780731371,17.25945593,54.85652228,1022.056781,101.3116868,1026.457428,36.5,64.8,53.7,98.7
A,Const,5%,26.07986373,790.7506869,54.52495183,807.1471244,8.764793354,18.39237909,51.37136945,1022.04771,99.16126792,1026.206297,33,67.6,50.3,96.6
A,Const,5%,27.79474375,788.9636847,50.23881357,806.3258162,7.314509028,17.82938909,55.4172543,1022.079941,98.95743252,1026.403854,35.2,62.3,54.2,96.4
A,Const,5%,15.98946684,785.8144064,38.49878188,799.2918446,4.729105569,13.46822169,49.75041415,1021.95595,95.56661548,1025.972751,20.3,48.2,48.7,93.1
A,Const,5%,24.14353083,787.5791457,52.52072755,806.5533856,6.143560833,18.07360292,49.82473193,1021.953153,98.8703076,1026.150653,30.7,65.1,48.8,96.4
A,Const,5%,18.42195442,786.0122059,47.71424654,803.2293172,4.818834037,16.32182585,50.69149596,1021.976935,99.91816024,1026.100139,23.4,59.4,49.6,97.4
A,Const,5%,23.38369303,788.2107695,49.39444383,805.2891788,6.749727826,17.68318271,53.24972822,1022.06487,100.2472929,1026.30608,29.7,61.3,52.1,97.7
A,Const,5%,17.44126191,786.6844426,46.63437962,802.3684017,5.509410542,15.41875237,48.98862892,1021.967819,97.72919122,1026.209417,22.2,58.1,47.9,95.2
A,Const,5%,22.94199465,787.1718871,55.05364408,806.2607538,5.99821591,18.27496616,54.25887447,1022.007082,104.9218433,1026.472257,29.1,68.3,53.1,102.2
A,Const,5%,23.78735517,788.7245914,46.50503864,804.2578413,7.113100271,16.33421213,52.35288295,1021.949313,99.71035038,1026.096308,30.2,57.8,51.2,97.2
A,Const,5%,24.20777308,788.2502615,47.03609778,805.1695914,6.614191048,17.23437336,54.7352471,1022.072862,100.7201725,1026.40287,30.7,58.4,53.6,98.1
A,Const,5%,28.61260392,789.6450991,59.43734885,810.5491322,7.985672019,21.20625422,53.20912713,1021.993919,103.9223318,1026.426511,36.2,73.3,52.1,101.2
A,Const,5%,25.58731237,788.0605217,54.71228451,808.3634489,6.626127204,19.42408715,56.07807552,1022.05751,105.2241983,1026.515388,32.5,67.7,54.9,102.5
A,Const,5%,30.06398924,790.0633088,61.86469776,810.9220586,8.297746702,21.34967047,53.74453004,1022.030116,105.894163,1026.350585,38.1,76.3,52.6,103.2
A,Const,5%,26.26076778,787.8845905,48.86195249,805.8018198,6.528242795,17.44855896,53.02473508,1021.960487,99.60442858,1026.222193,33.3,60.6,51.9,97.1
A,Const,5%,24.30190712,789.3305146,51.66890478,805.4423034,7.538135457,17.18608978,53.85828643,1022.067954,102.0577115,1026.322457,30.8,64.1,52.7,99.4
