IP,Day,Median,,,,,,,,,,,,,,,,,,,
Const,45,13.6,,,,,,,,,,,,,,,,,,,
Const,46,13.9,,,,,,,,,,,,,,,,,,,
Const,47,14.2,,,,,,,,,,,,,,,,,,,
Const,48,14.3,,,,,,,,,,,,,,,,,,,
Const,49,14.5,,,,,,,,,,,,,,,,,,,
Const,50,14.9,,,,,,,,,,,,,,,,,,,
Const,51,15.3,,,,,,,,,,,,,,,,,,,
Const,52,15.6,,,,,,,,,,,,,,,,,,,
Const,53,15.7,,,,,,,,,,,,,,,,,,,
Const,54,16.0,,,,,,,,,,,,,,,,,,,
Const,55,16.1,,,,,,,,,,,,,,,,,,,
Const,56,16.1,,,,,,,,,,,,,,,,,,,
Const,57,16.3,,,,,,,,,,,,,,,,,,,
Const,58,16.3,,,,,,,,,,,,,,,,,,,
Const,59,16.6,,,,,,,,,,,,,,,,,,,
Const,60,16.5,,,,,,,,,,,,,,,,,,,
Const,61,16.5,,,,,,,,,,,,,,,,,,,
Const,62,16.5,,,,,,,,,,,,,,,,,,,
Const,63,16.6,,,,,,,,,,,,,,,,,,,
Const,64,16.8,,,,,,,,,,,,,,,,,,,
Const,65,16.9,,,,,,,,,,,,,,,,,,,
Const,66,16.9,,,,,,,,,,,,,,,,,,,
Const,67,16.9,,,,,,,,,,,,,,,,,,,
Const,68,16.9,,,,,,,,,,,,,,,,,,,
Const,69,16.9,,,,,,,,,,,,,,,,,,,
Const,70,16.9,,,,,,,,,,,,,,,,,,,
Const,71,16.9,,,,,,,,,,,,,,,,,,,
Const,72,16.8,,,,,,,,,,,,,,,,,,,
Const,73,16.8,,,,,,,,,,,,,,,,,,,
Const,74,16.7,,,,,,,,,,,,,,,,,,,
Const,75,16.7,,,,,,,,,,,,,,,,,,,
Const,76,16.7,,,,,,,,,,,,,,,,,,,
Const,77,16.7,,,,,,,,,,,,,,,,,,,
Const,78,16.7,,,,,,,,,,,,,,,,,,,
Const,79,16.7,,,,,,,,,,,,,,,,,,,
Const,80,16.7,,,,,,,,,,,,,,,,,,,
Const,81,16.7,,,,,,,,,,,,,,,,,,,
Const,82,16.7,,,,,,,,,,,,,,,,,,,
Const,83,16.7,,,,,,,,,,,,,,,,,,,
Const,84,16.7,,,,,,,,,,,,,,,,,,,
Const,85,16.7,,,,,,,,,,,,,,,,,,,
Const,86,16.7,,,,,,,,,,,,,,,,,,,
Const,87,16.7,,,,,,,,,,,,,,,,,,,
Const,88,16.8,,,,,,,,,,,,,,,,,,,
Const,89,16.8,,,,,,,,,,,,,,,,,,,
Const,90,16.9,,,,,,,,,,,,,,,,,,,
Const,91,17.0,,,,,,,,,,,,,,,,,,,
Const,92,17.2,,,,,,,,,,,,,,,,,,,
Const,93,17.4,,,,,,,,,,,,,,,,,,,
Const,94,17.5,,,,,,,,,,,,,,,,,,,
Const,95,17.7,,,,,,,,,,,,,,,,,,,
Const,96,17.7,,,,,,,,,,,,,,,,,,,
Const,97,17.9,,,,,,,,,,,,,,,,,,,
Const,98,18.0,,,,,,,,,,,,,,,,,,,
