Model,Day,Case
ABM,118,1.621
ABM,119,1.586
ABM,120,1.593
ABM,121,1.615
ABM,122,1.591
ABM,123,1.548
ABM,124,1.522
ABM,125,1.48
ABM,126,1.458
ABM,127,1.458
ABM,128,1.429
ABM,129,1.4
ABM,130,1.337
ABM,131,1.304
ABM,132,1.28
ABM,133,1.254
ABM,134,1.221
ABM,135,1.2
ABM,136,1.191
ABM,137,1.14
ABM,138,1.143
ABM,139,1.137
ABM,140,1.127
ABM,141,1.109
ABM,142,1.108
ABM,143,1.088
ABM,144,1.066
ABM,145,1.046
ABM,146,1.026
ABM,147,1.023
ABM,148,1.032
ABM,149,1.048
ABM,150,1.033
ABM,151,1.006
ABM,152,0.981
ABM,153,0.97
ABM,154,0.958
ABM,155,0.946
ABM,156,0.959
ABM,157,0.925
ABM,158,0.899
ABM,159,0.881
ABM,160,0.86
ABM,161,0.859
ABM,162,0.862
ABM,163,0.87
ABM,164,0.85
ABM,165,0.834
ABM,166,0.824
ABM,167,0.809
ABM,168,0.825
ABM,169,0.837
ABM,170,0.848
ABM,171,0.828
ABM,172,0.785
ABM,173,0.767
ABM,174,0.76
ABM,175,0.767
ABM,176,0.769
ABM,177,0.772
ABM,178,0.76
ABM,179,0.76
ABM,180,0.739
Stochastic SD,1,1
Stochastic SD,2,1.147116298
Stochastic SD,3,1.252735977
Stochastic SD,4,1.464130213
Stochastic SD,5,1.765039615
Stochastic SD,6,2.168190144
Stochastic SD,7,2.651831808
Stochastic SD,8,3.243828179
Stochastic SD,9,3.873770381
Stochastic SD,10,4.354941991
Stochastic SD,11,4.724770607
Stochastic SD,12,5.185426331
Stochastic SD,13,5.739233115
Stochastic SD,14,6.345776269
Stochastic SD,15,6.685757027
Stochastic SD,16,7.164869995
Stochastic SD,17,7.58209079
Stochastic SD,18,7.871714331
Stochastic SD,19,8.225323661
Stochastic SD,20,8.640040468
Stochastic SD,21,9.083984011
Stochastic SD,22,9.566232865
Stochastic SD,23,10.04160943
Stochastic SD,24,10.2928552
Stochastic SD,25,10.33802415
Stochastic SD,26,10.41165463
Stochastic SD,27,10.5240414
Stochastic SD,28,10.66875439
Stochastic SD,29,10.79040398
Stochastic SD,30,10.8804787
Stochastic SD,31,10.81568998
Stochastic SD,32,10.595218
Stochastic SD,33,10.38496186
Stochastic SD,34,10.2398463
Stochastic SD,35,10.14804196
Stochastic SD,36,10.07189626
Stochastic SD,37,9.986514877
Stochastic SD,38,9.814309106
Stochastic SD,39,9.531788322
Stochastic SD,40,9.235298126
Stochastic SD,41,9.016785274
Stochastic SD,42,8.821992592
Stochastic SD,43,8.674335041
Stochastic SD,44,8.512249695
Stochastic SD,45,8.28612004
Stochastic SD,46,7.988818002
Stochastic SD,47,7.711959813
Stochastic SD,48,7.498014655
Stochastic SD,49,7.287083183
Stochastic SD,50,7.128767139
Stochastic SD,51,6.955971229
Stochastic SD,52,6.737778185
Stochastic SD,53,6.470154799
Stochastic SD,54,6.230385517
Stochastic SD,55,6.055534458
Stochastic SD,56,5.892051476
Stochastic SD,57,5.758354315
Stochastic SD,58,5.617124912
Stochastic SD,59,5.423782274
Stochastic SD,60,5.203750713
Stochastic SD,61,5.022012888
Stochastic SD,62,4.860069128
Stochastic SD,63,4.719790471
Stochastic SD,64,4.627429845
Stochastic SD,65,4.534859191
Stochastic SD,66,4.416572329
Stochastic SD,67,4.256798423
Stochastic SD,68,4.120801308
Stochastic SD,69,4.007516928
Stochastic SD,70,3.927110606
Stochastic SD,71,3.843323914
Stochastic SD,72,3.778416749
Stochastic SD,73,3.685145849
Stochastic SD,74,3.520829718
Stochastic SD,75,3.429970173
Stochastic SD,76,3.353504188
Stochastic SD,77,3.288707315
Stochastic SD,78,3.228263242
Stochastic SD,79,3.184064048
Stochastic SD,80,3.114883576
Stochastic SD,81,3.010111059
Stochastic SD,82,2.926365776
Stochastic SD,83,2.846038709
Stochastic SD,84,2.784159089
Stochastic SD,85,2.758211004
Stochastic SD,86,2.718840552
Stochastic SD,87,2.655956571
Stochastic SD,88,2.582208705
Stochastic SD,89,2.509448581
Stochastic SD,90,2.440732449
Stochastic SD,91,2.406285799
Stochastic SD,92,2.380799977
Stochastic SD,93,2.345069479
Stochastic SD,94,2.278098979
Stochastic SD,95,2.213862925
Stochastic SD,96,2.163535413
Stochastic SD,97,2.131578332
Stochastic SD,98,2.093447642
Stochastic SD,99,2.073604152
Stochastic SD,100,2.041603492
Stochastic SD,101,2.011522943
Stochastic SD,102,1.954299382
Stochastic SD,103,1.89979871
Stochastic SD,104,1.877258716
Stochastic SD,105,1.834628174
Stochastic SD,106,1.816151587
Stochastic SD,107,1.806684173
Stochastic SD,108,1.777815624
Stochastic SD,109,1.72988182
Stochastic SD,110,1.687064208
Stochastic SD,111,1.652705548
Stochastic SD,112,1.616447621
Stochastic SD,113,1.598193361
Stochastic SD,114,1.582527286
Stochastic SD,115,1.556664389
Stochastic SD,116,1.513515434
Stochastic SD,117,1.490788127
Stochastic SD,118,1.454652205
Stochastic SD,119,1.445808934
Stochastic SD,120,1.428927982
Stochastic SD,121,1.436667936
Stochastic SD,122,1.416462606
Stochastic SD,123,1.38157985
Stochastic SD,124,1.347109624
Stochastic SD,125,1.330114226
Stochastic SD,126,1.320937812
Stochastic SD,127,1.309269518
Stochastic SD,128,1.296464813
Stochastic SD,129,1.293130567
Stochastic SD,130,1.271545068
Stochastic SD,131,1.249436627
Stochastic SD,132,1.241132748
Stochastic SD,133,1.236455151
Stochastic SD,134,1.229430122
Stochastic SD,135,1.226137008
Stochastic SD,136,1.203759831
Stochastic SD,137,1.164798879
Stochastic SD,138,1.150185147
Stochastic SD,139,1.138349727
Stochastic SD,140,1.127448463
Stochastic SD,141,1.114542479
Stochastic SD,142,1.115244321
Stochastic SD,143,1.101379102
Stochastic SD,144,1.07739224
Stochastic SD,145,1.054037628
Stochastic SD,146,1.052945948
Stochastic SD,147,1.045045606
Stochastic SD,148,1.049655974
Stochastic SD,149,1.041577583
Stochastic SD,150,1.033553002
Stochastic SD,151,1.016777414
Stochastic SD,152,0.99358661
Stochastic SD,153,0.986285561
Stochastic SD,154,0.977159863
Stochastic SD,155,0.973879385
Stochastic SD,156,0.967079502
Stochastic SD,157,0.955339967
Stochastic SD,158,0.926178317
Stochastic SD,159,0.922345391
Stochastic SD,160,0.909482572
