Size
6
10
11
16
18
20
21
21
22
22
23
24
24
24
24
26
27
28
29
30
30
32
32
32
33
35
35
37
37
38
39
40
40
41
42
42
42
43
44
44
45
46
48
48
49
50
50
50
52
52
55
57
57
61
62
64
64
65
66
68
70
73
74
75
75
78
80
80
80
80
80
83
84
89
90
90
90
92
100
106
109
149
160
