SRRatio
1.2
1.01
1.57
1.4
1.48
1
1.07
1.18
1.48
1.24
1.57
1.61
1
0.77
0.7
2.06
1.23
1.55
1.23
1.43
1.5
0.71
2.03
1.52
1.15
1.38
1.53
1.48
1.51
1.8
1.06
2.69
1.16
1.17
0.42
1.14
1.56
1.25
1.05
1.33
0.96
1.19
1.15
0.9
0.8
1.14
1.14
1.59
1.08
1.14
2.56
2.03
1.63
1.86
1.26
1.24
1.05
2.3
2.71
1.73
0.9
1.34
1.14
1.19
1.43
1.35
1
1.34
1.51
1.34
1.33
1.54
1.23
2.7
1.54
1.77
0.91
1.26
0.95
1.31
1.3
1.31
1.17
0.77
